Store_Name,Store_Type,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude,X,Y,ObjectId,unique_ID,current_partner,potential_partner
Markham Shell,Gas Station,15901 Crawford Ave,NA,Markham,IL,60428,4471,COOK,-87.716774,41.602253,-87.716774,41.602253,147916,1590160428,No,Unqualified
Galesburg Mobil,Gas Station,383 E Fremont St,NA,Galesburg,IL,61401,2836,KNOX,-90.364769,40.962158,-90.364769,40.962158,147921,38361401,No,Unqualified
Jewel Food Store 3426,Large Grocery Chain,2502 N Waukegan Rd,NA,Glenview,IL,60025,1774,COOK,-87.801361,42.09951,-87.801361,42.09951,148022,250260025,No,Potential Partner
El Progreso,NA,3937 W 31st St,NA,Chicago,IL,60623,4936,COOK,-87.723297,41.836666,-87.723297,41.836666,148025,393760623,No,NA
"Clark Super Food Market And Liquors, Inc.",Liquor Store,6647 N Clark St,NA,Chicago,IL,60626,4016,COOK,-87.672089,42.003098,-87.672089,42.003098,148026,664760626,No,Unqualified
DOLLAR GENERAL 14043,Dollar Store,16019 N US Highway 51,NA,De Soto,IL,62924,1001,JACKSON,-89.228584,37.822906,-89.228584,37.822906,148085,1601962924,No,Unqualified
Family Dollar 12601,Dollar Store,3542 S Archer Ave,NA,Chicago,IL,60609,1134,COOK,-87.679214,41.829731,-87.679214,41.829731,148109,354260609,No,Unqualified
"Lenny's Gas N Wash 183rd Street, Llc 183",Gas Station,7451 183rd Street,NA,Tinley Park,IL,60477,NA,COOK,-87.798592,41.558392,-87.798592,41.558392,148117,745160477,No,Unqualified
Hy-vee Gas 5420,Gas Station,1602 E Jackson St,NA,Macomb,IL,61455,2530,MCDONOUGH,-90.64846,40.458656,-90.64846,40.458656,148121,160261455,No,Unqualified
Walgreens 13004,Convenience Store,1600 W Main St,NA,Carbondale,IL,62901,2120,JACKSON,-89.236412,37.728069,-89.236412,37.728069,148221,160062901,No,Unqualified
Food For Less 570,Small to Medium Grocery Chain,112 West 87th Street,NA,Chicago,IL,60620,NA,COOK,-87.626831,41.736343,-87.626831,41.736343,148231,11260620,No,Potential Partner
La Barca,NA,1221 W 47th St,NA,Chicago,IL,60609,3323,COOK,-87.656097,41.808701,-87.656097,41.808701,148236,122160609,No,NA
ALDI 68077 68077,Large Grocery Chain,16000 S Harlem Ave,NA,Tinley Park,IL,60477,NA,COOK,-87.79425,41.600456,-87.79425,41.600456,148249,1600060477,No,Potential Partner
Family Dollar 2699,Dollar Store,696 W Baltimore St,NA,Wilmington,IL,60481,1281,WILL,-88.158562,41.30521,-88.158562,41.30521,148278,69660481,No,Unqualified
Circle K 185,Gas Station,705 W Baltimore St,NA,Wilmington,IL,60481,1283,WILL,-88.159592,41.304882,-88.159592,41.304882,148290,70560481,No,Unqualified
Git-N-Go 08,Gas Station,203 W 1st Ave,NA,Coal Valley,IL,61240,9309,ROCK ISLAND,-90.46241,41.452503,-90.46241,41.452503,148325,20361240,No,Unqualified
BART'S SUPERMARKET,Grocery Store,105 E Falcon Hwy,NA,Flanagan,IL,61740,7502,LIVINGSTON,-88.859642,40.870968,-88.859642,40.870968,148350,10561740,No,Potential Partner
Circle K 4701218,Gas Station,602 N Main St,NA,Jacksonville,IL,62650,1439,MORGAN,-90.229027,39.738728,-90.229027,39.738728,148366,60262650,No,Unqualified
"Maywood Express Food, Inc.",NA,1001 S 9th Ave,NA,Maywood,IL,60153,1941,COOK,-87.84375,41.878719,-87.84375,41.878719,148397,100160153,No,NA
Aldi 61,Large Grocery Chain,1800 N Milwaukee Ave,NA,Vernon Hills,IL,60061,1654,LAKE,-87.948242,42.258667,-87.948242,42.258667,148411,180060061,No,Potential Partner
Casey's 6438,Convenience Store,294 E Townline Road,NA,Vernon Hills,IL,60061,NA,LAKE,-87.956055,42.240524,-87.956055,42.240524,148414,29460061,No,Unqualified
Kingston Market,NA,1401 S 5th Ave,NA,Maywood,IL,60153,2128,COOK,-87.838646,41.875084,-87.838646,41.875084,148418,140160153,No,NA
Kukulu Market,NA,6135 N Broadway St,Ste 1,Chicago,IL,60660,2554,COOK,-87.660011,41.99337,-87.660011,41.99337,148425,613560660,No,NA
Ny Fish And Chicken,Meat or Fish Market,2748 W Madison St,NA,Chicago,IL,60612,2036,COOK,-87.695831,41.881439,-87.695831,41.881439,148427,274860612,No,Unqualified
7-Eleven 32889B,Convenience Store,48 N Wells St,NA,Chicago,IL,60606,3410,COOK,-87.633911,41.882553,-87.633911,41.882553,148491,4860606,No,Unqualified
Primos Food Mart Inc,Food Market,221 Hill Ave,NA,Aurora,IL,60505,3803,KANE,-88.288246,41.74892,-88.288246,41.74892,148497,22160505,No,Potential Partner
Speedway 7540,Convenience Store,948 N Farnsworth Ave,NA,Aurora,IL,60505,2413,KANE,-88.281776,41.777519,-88.281776,41.777519,148506,94860505,No,Unqualified
Dollar General 12424,Dollar Store,1002 N Farnsworth Ave,NA,Aurora,IL,60505,2008,KANE,-88.281792,41.778461,-88.281792,41.778461,148521,100260505,No,Unqualified
Alma Food Market Inc,Food Market,823 Aurora Ave,NA,Aurora,IL,60505,2127,KANE,-88.306854,41.774727,-88.306854,41.774727,148522,82360505,No,Potential Partner
Lakeshore Stop,NA,3603 E William Street Rd,NA,Decatur,IL,62521,1658,MACON,-88.923691,39.844563,-88.923691,39.844563,148546,360362521,No,NA
Billingsley Enterprises Inc 1,NA,1725 S Franklin St,NA,Decatur,IL,62521,5229,MACON,-88.955391,39.821976,-88.955391,39.821976,148555,172562521,No,NA
Grand Discount Food And Tabacco,NA,738 E Grand Ave,NA,Decatur,IL,62521,1220,MACON,-88.947708,39.855003,-88.947708,39.855003,148561,73862521,No,NA
Village Pantry 5211,Convenience Store,502 N Main St,NA,Georgetown,IL,61846,1712,VERMILION,-87.635994,39.979118,-87.635994,39.979118,148569,50261846,No,Unqualified
Clark,NA,1952 W Garfield Blvd,NA,Chicago,IL,60609,5609,COOK,-87.673782,41.794243,-87.673782,41.794243,148574,195260609,No,NA
Beachpark Gas & Food Llc,Gas Station,37740 N Sheridan Rd,NA,Beach Park,IL,60087,2463,LAKE,-87.82531,42.409702,-87.82531,42.409702,148577,3774060087,No,Unqualified
El Naranjo #357,NA,4100 S Ashland Ave,#357,Chicago,IL,60609,NA,COOK,-87.667503,41.818752,-87.667503,41.818752,148581,410060609,No,NA
Speedway 5384,Convenience Store,19724 Wolf Rd,NA,Mokena,IL,60448,1308,WILL,-87.889427,41.53046,-87.889427,41.53046,148627,1972460448,No,Unqualified
CVS 7760,Convenience Store,19900 La Grange Rd,NA,Mokena,IL,60448,8674,WILL,-87.850204,41.528374,-87.850204,41.528374,148638,1990060448,No,Unqualified
Whole Foods Market 10171,Large Grocery Chain,1100 S Canal St,Ste 107,Chicago,IL,60607,NA,COOK,-87.639336,41.868481,-87.639336,41.868481,148640,110060607,No,Potential Partner
Walgreens 03322,Convenience Store,2323 Charles St,NA,Rockford,IL,61104,1550,WINNEBAGO,-89.058571,42.260502,-89.058571,42.260502,148646,232361104,No,Unqualified
WALGREENS  2828,Convenience Store,1602 Kishwaukee St,NA,Rockford,IL,61104,5116,WINNEBAGO,-89.086754,42.250446,-89.086754,42.250446,148661,160261104,No,Unqualified
Jewel Food Store 3459,Large Grocery Chain,1600 Deerfield Rd,NA,Highland Park,IL,60035,3708,LAKE,-87.822853,42.177429,-87.822853,42.177429,148665,160060035,No,Potential Partner
Piatto Pronto,NA,5624 N Clark St,NA,Chicago,IL,60660,4109,COOK,-87.668968,41.984283,-87.668968,41.984283,148679,562460660,No,NA
Aldi 65,Large Grocery Chain,6221 N Broadway St,NA,Chicago,IL,60660,1902,COOK,-87.660355,41.994961000000004,-87.660355,41.994961000000004,148680,622160660,No,Potential Partner
Star Farm Fresh Market,Fresh Market,934 W 50th Pl,NA,Chicago,IL,60609,5155,COOK,-87.64917,41.802647,-87.64917,41.802647,148686,93460609,Farm Direct,Current Partner
Supermercado Alexs,Grocery Store,4134 W 31st St,NA,Chicago,IL,60623,4803,COOK,-87.728165,41.837067,-87.728165,41.837067,148734,413460623,No,Potential Partner
7-Eleven 33692,Convenience Store,318 W Adams St,NA,Chicago,IL,60606,NA,COOK,-87.636101,41.879398,-87.636101,41.879398,148737,31860606,No,Unqualified
Taste Of Englewood Incorporated,NA,754 W Garfield Blvd,NA,Chicago,IL,60609,6157,COOK,-87.644737,41.794491,-87.644737,41.794491,148742,75460609,No,NA
Nola's Naturals,NA,422 Madison Ave,NA,Charleston,IL,61920,1486,COLES,-88.177094,39.495659,-88.177094,39.495659,148805,42261920,No,NA
Rmarts Darien 51,Gas Station,402 Plainfield Rd,NA,Darien,IL,60561,4208,DU PAGE,-87.955154,41.757248,-87.955154,41.757248,148828,40260561,No,Unqualified
DOLLAR GENERAL  7180,Dollar Store,2160 W Ramada Ln,NA,Carbondale,IL,62901,5327,JACKSON,-89.244293,37.732471,-89.244293,37.732471,148859,216062901,No,Unqualified
HUCK'S 219,Gas Station,102 E Broadway,NA,Steeleville,IL,62288,1502,RANDOLPH,-89.658119,38.006992,-89.658119,38.006992,148887,10262288,No,Unqualified
Aurora Farmers Market East #3,Farmers Market,4070 Fox Valley Center Dr,NA,Aurora,IL,60504,4109,DU PAGE,-88.217484,41.760574,-88.217484,41.760574,148893,407060504,No,Potential Partner
Berkot's Super Foods 321,Small to Medium Grocery Chain,1152 E Walnut St,NA,Watseka,IL,60970,1803,IROQUOIS,-87.707466,40.775593,-87.707466,40.775593,148926,115260970,No,Potential Partner
D&S Foods,NA,120 E Bluff St,NA,Marseilles,IL,61341,1401,LA SALLE,-88.707664,41.330421,-88.707664,41.330421,148980,12061341,No,NA
Dollar General 19795,Dollar Store,10721 US Highway 40,NA,Saint Jacob,IL,62281,NA,MADISON,-89.763565,38.721432,-89.763565,38.721432,149006,1072162281,No,Unqualified
Dollar General 19102,Dollar Store,5725 N Broadway St,NA,Chicago,IL,60660,4301,COOK,-87.660126,41.986305,-87.660126,41.986305,149068,572560660,No,Unqualified
